,timestamp_pulse_id,bgfactor,pixis_rotation,pixis_centerx_px,pixis_centery_px,pinholes_centerx_px,pinholes_centery_px,pixis_profile_centerx_px_fit,pixis_profile_centery_px_fit,pinholes_cm_x_px,pinholes_cm_y_px,_lambda_nm_fit,gamma_fit,sigma_F_gamma_um_opt,xi_um,shiftx_um_fit,w1_um_fit,w2_um_fit,I_Airy1_fit,I_Airy2_fit,x1_um_fit,x2_um_fit,d_um_at_detector,xi_x_um,xi_y_um,pixis_image_minus_bg_rot_cropped_counts,phcam_scalex_um_per_px,phcam_scaley_um_per_px,phap_diam_um,phap_xc_px,phap_yc_px,phap_width_px,phap_height_px,pinholes_bg_avg_phi,pinholes_bg_avg_xc_um,pinholes_bg_avg_yc_um,pinholes_bg_avg_sx_um,pinholes_bg_avg_sy_um,xi_x_um_fit,zeta_x,zeta_x_fit
0,1545411766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1545411786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1545411806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1545411826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1545411846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1545411886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1545411906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1545411946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1545412206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1545412246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1545412266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1545412286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1545412326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1545412346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1545412386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1545413226,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1545413266,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1545413286,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1545413306,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1545413586,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1545413606,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1545413666,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1545413686,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1545413706,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1545413726,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1545414026,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1545414046,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1545414066,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1545414106,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1545414126,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1545414146,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1545414186,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1545414206,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1545414486,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1545414506,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1545414546,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1545414586,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1545414606,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1545414626,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1545414666,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1545414926,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1545414986,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1545415006,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1545415026,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1545415066,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1545415086,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1545415106,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1545415126,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1545415406,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1545415426,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1545415466,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1545415486,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1545415506,,-0.8,588.0,512.0,500.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
